ID	Reviews	Labels
1329	凑单买的，没开封，希望味道别太香	O O O O O O O O O O O B-qiwei I-qiwei B-neu I-neu I-neu
1330	已经在用了，跟之前买的一样，便宜了很多！	O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos I-pos O
1331	客服非常非常满意	B-fuwu I-fuwu O O B-pos I-pos I-pos I-pos
1332	不错哦。速度很快，~。以后就买****的了。	B-pos I-pos O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O O
1333	脸上舒服上很好，很舒服，很棒，非常好。	O O O O O O O O B-pos I-pos I-pos O B-pos I-pos O B-pos I-pos I-pos O
1334	垃圾，先不说效果咋样，就你这形状不规整，能让人感觉好嘛	B-neg I-neg O O O O O O O O O O O O B-chicun I-chicun B-neg I-neg I-neg O O O O O O O O
1335	第一次买这个面膜，包装很可爱，今晚试试效果	O O O O O O O O O B-baozhuang I-baozhuang B-pos I-pos I-pos O O O O O O O
1336	第一次用，还不错，本身黄皮肤，可以提亮肤色，还是可以的！	O O O O O B-pos I-pos I-pos O O O O O O O O O B-pos I-pos I-pos I-pos O O O B-pos I-pos O O
1337	很好用，洗了很温和	B-pos I-pos I-pos O O O B-pos I-pos I-pos
1338	用了几天，效果还行，挺保湿的，	O O O O O O O B-pos I-pos O B-pos I-pos I-pos I-pos O
1339	妈妈婆婆我一人一个，一次性买三个，比平时划算多了	O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos
1340	用了第二片才来评论 补水效果还可以 是正品 ！	O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos O B-pos I-pos I-pos O O
1341	非常好的 容易打开  不错	B-pos I-pos I-pos O O B-pos I-pos I-pos I-pos O O B-pos I-pos
1342	很薄！服帖！也不黏糊糊，还可以！毕竟价格合理	B-pos I-pos O B-pos I-pos O O B-pos I-pos I-pos I-pos O B-pos I-pos I-pos O O O B-jiage I-jiage B-pos I-pos
1343	给媳妇买的，用了说不错，大品牌值得信赖	O O O O O O O O O B-pos I-pos O O O O O O O O
1344	这个是送的，五张，不知道单价多少，***也用了两年了。感觉还不错	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos
1345	送了很多赠品  用着一般般	O O B-pos I-pos B-jiage I-jiage O O O O B-neu I-neu I-neu
1346	***的产品都超级好用，这款卸妆水卸的很干净，会一直回购的	O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O O B-pos I-pos I-pos O O O O O O O
1347	洗完之后脸不紧绷，挺好的，同学推荐的，说挺好的就尝试了下，嗯满意。	O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O B-pos I-pos O
1348	很好用 特别是黑面膜非常舒服用了	B-pos I-pos I-pos O O O O O O O B-pos I-pos I-pos I-pos O O
1349	颜色粉粉的，用着很好。不油腻也清爽。继续用	B-qita I-qita B-pos I-pos I-pos O O O B-pos I-pos O B-pos I-pos I-pos O B-pos I-pos O O O O
1350	比实体店便宜多了，用了一段时间再追评！	O O O O B-pos I-pos I-pos I-pos O O O O O O O O O O O
1351	物流够快 还可以 ?	B-wuliu I-wuliu B-pos I-pos O B-pos I-pos I-pos O O
1352	用过一个了 遮盖力一般 但是很滋润 很好用	O O O O O O B-gongxiao I-gongxiao I-gongxiao B-neu I-neu O O O B-pos I-pos I-pos O B-pos I-pos I-pos
1353	使用了绿瓶好用，换个颜色试试	O O O O O B-pos I-pos O O O O O O O
1354	很好，很不错，很满意，价格便宜实惠	B-pos I-pos O B-pos I-pos I-pos O B-pos I-pos I-pos O B-jiage I-jiage B-pos I-pos I-pos I-pos
1355	这款***面膜非常好用，保湿效果不错，第二次购买了，会一直支持***！	O O O O O O O B-pos I-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O O O O O O O O O O O O O O O O O
1356	还行，就是感觉能再便宜点就好了。	O O O O O O O O B-neg I-neg I-neg I-neg O O O O
1357	还不错、、、、、、、、、、	B-pos I-pos I-pos O O O O O O O O O O
1358	不怎么好用	B-neg I-neg I-neg I-neg I-neg
1359	还可以，可以买	B-pos I-pos I-pos O O O O
1360	效果很不错，贴装，一直都在用的一款隔离霜，推荐	O O B-pos I-pos I-pos O B-pos I-pos O O O O O O O O O O O O O O O
1361	一如既往的好	O O O O O B-pos
1362	还可以，挺好用的，挺保湿的	B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos
1363	好用，洗后不干涩	B-pos I-pos O O O B-pos I-pos I-pos
1364	**物流真快！第一次用这个品牌，还不知效果如何。用了再来评价。	O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O
1365	好，一直用这个牌子的，双十一价位就很给力	B-pos O O O O O O O O O O O O O B-jiage I-jiage O B-pos I-pos I-pos
1366	不错，速度快，东西用后再说	B-pos I-pos O B-wuliu I-wuliu B-pos O O O O O O O
1367	之前用过体验装，用着特别好，回购的！	O O O O O O O O O O B-pos I-pos I-pos O O O O O
1368	一直用的这个牌子，很好用，价格也实惠，买的值	O O O O O O O O O O O O O B-jiage I-jiage O B-pos I-pos O O O O
1369	宝贝收到了，今晚试用看看效果。**上快递真的不错	O O O O O O O O O O O O O O O O O O B-wuliu I-wuliu B-pos I-pos I-pos I-pos
1370	货刚到，第一次买，感觉还是很不错的，用好在追评	O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O
1371	值得拥有！速度很快哦，女生长大了一定要用隔离	O O O O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O
1372	买一送一。很便宜。也是正品	O O O O O B-pos I-pos I-pos O O O B-pos I-pos
1373	不错，还保湿，摸完再擦一点粉底就好了??	B-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O O O O O
1374	送老婆的，她很喜欢，牌子本身挺不错的，老婆反馈说好用	O O O O O O B-pos I-pos I-pos O O O O O B-pos I-pos I-pos O O O O O O O B-pos I-pos
1375	商品是正品哦，很补水的哦，**的服务跟物流棒棒哒	O O B-pos I-pos I-pos O O B-pos I-pos I-pos O O O O O O B-fuwu I-fuwu O B-wuliu I-wuliu B-pos I-pos I-pos
1376	挺好用的，轻薄，而且很提亮肤色&hellip	B-pos I-pos I-pos I-pos O B-pos I-pos O O O B-pos I-pos I-pos I-pos I-pos O O O O O O O
1377	一直在用这款隔离霜，超级好用	O O O O O O O O O O B-pos I-pos I-pos I-pos
1378	好好，用完再来，	B-pos O O O O O O O
1379	包装口不知谁给隔开了，不过面膜没少，我一直在用这个牌子的化妆品，挺好的。	B-baozhuang I-baozhuang O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O
1380	一直用这个牌子的面膜，但是没用过这一款，看搞活动买来试试，分给同事了几片，说用着还不错	O O O O O O O O O O O O O O O O O O O O O O B-jiage I-jiage O O O O O O O O O O O O O O O O B-pos I-pos I-pos
1381	非常满意..以后还会光顾..值得购买	B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O
1382	控油效果一般  持久情况：持装效果大半天是没问题	B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-neu I-neu O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O O O O B-pos I-pos I-pos
1383	快递第二天就到了	B-wuliu I-wuliu O O O O O O
1384	媳妇还没有使用，应该是效果是可以的	O O O O O O O O O O O O O O B-pos I-pos I-pos
1385	查了一下是正品，试用了挺好用的，下次会回购的	O O O O B-pos I-pos I-pos O O O O B-pos I-pos I-pos I-pos O O O O O O O
1386	东西不错，很方便，值得推荐。	O O B-pos I-pos O B-pos I-pos I-pos O O O O O O
1387	用着还不错，买的紫色那个，性价比算高，眼下看可能会回购	O O B-pos I-pos I-pos O O O O O O O O B-jiage I-jiage I-jiage O B-pos O O O O O O O O O
1388	宝贝质量很好，**速度快，以后会再回购，现囤货	O O O O B-pos I-pos O O O B-wuliu I-wuliu B-pos O O O O O O O O O O O
1389	好用哦 具有美白效果 喜欢 还会继续光临的	B-pos I-pos O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos I-pos O O O O O O O O
1390	水分多，好吸收，不错	B-chengfen I-chengfen B-pos O B-pos I-pos I-pos O B-pos I-pos
1391	不错不错，第二次回购了，每次赠送的小礼品也很多！还会继续光顾的！	B-pos I-pos O O O O O O O O O O O O O O O B-jiage I-jiage I-jiage O B-pos I-pos O O O O O O O O O
1392	一直是用这款，快用完一瓶了，挺服帖，也挺遮瑕，提亮肤色	O O O O O O O O O O O O O O B-pos I-pos I-pos O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos
1393	我用了三年的这牌子的粉底液了，一直在****买，值得信赖，和装柜一样的是正品，没有浮粉，保湿	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O B-pos I-pos
1394	卸妆水很好闻！很好用！用完不紧绷！好评！	O O O B-pos I-pos I-pos O B-pos I-pos I-pos O O O B-pos I-pos I-pos O B-pos I-pos O
1395	老婆自己选的，用着效果不错。**送货也快	O O O O O O O O O O O B-pos I-pos O O O B-wuliu I-wuliu O B-pos
1396	宝贝收到用过几次了  好用	O O O O O O O O O O O B-pos I-pos
1397	包装太随便了吧连个包装盒都没有	B-baozhuang I-baozhuang B-neg I-neg I-neg I-neg O O O B-baozhuang I-baozhuang I-baozhuang O B-neg I-neg
1398	很好，值得推荐给大家介绍一下	B-pos I-pos O O O O O O O O O O O O
1399	味道不错，效果很不错哦！	B-qiwei I-qiwei B-pos I-pos O O O B-pos I-pos I-pos O O
1400	对比了现有用的，应该是正品吧，保质期2020年11月，在范围内	O O O O O O O O O O B-pos I-pos I-pos O O B-xinxiandu I-xinxiandu I-xinxiandu O O O O O O O O O O O O O
1401	很满意，使用感不错！性价比不错。	B-pos I-pos I-pos O O O O B-pos I-pos O B-jiage I-jiage I-jiage O O O
1402	妥妥的没毛病 再苦再累也要对得起自己这张脸	B-pos I-pos I-pos B-pos I-pos I-pos O O O O O O O O O O O O O O O
1403	挺好用的不错，准备给朋友在买	B-pos I-pos I-pos I-pos B-pos I-pos O O O O O O O O
1404	昨天买的今天下午就到了，物流快，辛苦快递小哥了！！今天第一次用，不知道怎么样呢！	O O O O O O O O O O O O B-wuliu I-wuliu B-pos O O O B-wuliu I-wuliu I-wuliu I-wuliu O O O O O O O O O O O O O O O O O O
1405	遮暇效果一般般吧	B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-neu I-neu I-neu O
1406	这款面膜用了好几年了，有活动多囤一点，	O O O O O O O O O O O O B-jiage I-jiage O O O O O
1407	宝贝到了，包装完整，打开后宝贝也很漂亮，味道也是很不错，满意。	O O O O O B-baozhuang I-baozhuang B-pos I-pos O O O O O O O B-pos I-pos I-pos O B-qiwei I-qiwei O O B-pos I-pos I-pos O B-pos I-pos O
1408	拍一发了三个，超级划算，而且还很好用，好服帖不卡粉，值得信赖	O O O O O O O B-pos I-pos I-pos I-pos O O O O B-pos I-pos I-pos O B-pos I-pos I-pos B-pos I-pos I-pos O O O O O
1409	特意用了几天才来评价，是正品，好用，而且比实体店便宜好多，以后会多多回购的	O O O O O O O O O O O B-pos I-pos I-pos O B-pos I-pos O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O O O
1410	真心划算，据说是挺不错的！可以试用一下哈	B-pos I-pos I-pos I-pos O O O O B-pos I-pos I-pos I-pos O O O O O O O O
1411	不错不错，好的好的，很不错	B-pos I-pos O O O B-pos I-pos O O O B-pos I-pos I-pos
1412	这个用着不错哦，比较自然	O O O O B-pos I-pos O O B-pos I-pos I-pos I-pos
1413	棒棒哒，一直在用***	B-pos I-pos I-pos O O O O O O O O
1414	一直在用这款面膜，挺好用的	O O O O O O O O O B-pos I-pos I-pos I-pos
1415	超级喜欢，回购很多次了	B-pos I-pos I-pos I-pos O O O O O O O
1416	真的是太划算了，囤了一大箱，能用三个月了。	O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O
1417	买一送一，还没开始用，***应该不会差的，希望是正品	O O O O O O O O O O O O O O O O O O O O O B-neu I-neu I-neu I-neu I-neu
1418	一流产品，三流快递，直接下降成二流产品！得不偿失！	B-pos I-pos B-zhengti I-zhengti O B-neg I-neg B-wuliu I-wuliu O O O O O O O O O O O O O O O O
1419	很大一瓶子，很划算，期待后期使用效果哦	O O O O O O B-pos I-pos I-pos O O O O O O O O O O
1420	送人的，应该不错吧	O O O O O O B-pos I-pos O
1421	还不错 很温和	B-pos I-pos I-pos O B-pos I-pos I-pos
1422	送给婆婆的，她说还不错，补水效果还可以。	O O O O O O O O B-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos O
1423	超级好用，物有所值，已经试过了，皮肤滑滑的。	B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O B-pos I-pos I-pos O
1424	宝贝早上下单下午就收到了，**物流超快，东西很好，值得购买	O O O O O O O O O O O O O O O B-wuliu I-wuliu B-pos I-pos O O O B-pos I-pos O O O O O
1425	不错，还没用呢，等现在的用完了在拆，现在用的也是***的挺好用的，看见3.8节有活动就又入手了一只哦	B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O O B-jiage I-jiage O O O O O O O O
1426	效果还不知道，收到就用了，补水可以就是味道太香了，	B-gongxiao I-gongxiao B-neu I-neu I-neu I-neu O O O O O O O B-gongxiao I-gongxiao B-pos I-pos O O B-qiwei I-qiwei B-neg I-neg I-neg O
1427	都说包装不好，我觉得很好呀！面膜也很好用，比***的好！	O O B-baozhuang I-baozhuang O O O O O O B-pos I-pos O O O O O B-pos I-pos I-pos O O O O O O O O
1428	洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好！	O O O O O O O B-qita I-qita B-pos I-pos O O O O B-pos I-pos I-pos B-qiwei I-qiwei O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos O
1429	给女朋友买的隔离，用起来还行，没有过敏。	O O O O O O O O O O O O B-pos I-pos O B-pos I-pos I-pos I-pos O
1430	第一次买***的面膜，看评论说用着不错买来试试，用了确实很补水，精华液也很多，好评	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O B-chengfen I-chengfen I-chengfen O B-pos I-pos O B-pos I-pos
1431	不错，比~便宜，希望是正品！！！！	B-pos I-pos O O O B-pos I-pos O B-neu I-neu I-neu I-neu I-neu O O O O
1432	好，不错价格实惠物流快666666	B-pos O B-pos I-pos B-jiage I-jiage B-pos I-pos B-wuliu I-wuliu B-pos B-pos I-pos I-pos O O O
1433	之前用过一次，觉得挺好用的，洗完不紧绷	O O O O O O O O O B-pos I-pos I-pos I-pos O O O B-pos I-pos I-pos
1434	大品牌值得信赖，东西不错，还会购买。	O O O O O O O O O O B-pos I-pos O O O O O O
1435	隔离效果挺不错的，一直在用，值得购买	B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos O O O O O O O O O O O
1436	一直在用这种牌子的护肤品，好用又实惠。值得购买	O O O O O O O O O O O O O B-pos I-pos O B-pos I-pos O O O O O
1437	看测评入的，味道挺淡蛮好闻，涂上去还是觉得有点黏黏的，挺小只方便携带~好用的话会回购~	O O O O O O B-qiwei I-qiwei B-pos I-pos B-pos I-pos I-pos O O O O O O O O B-neu I-neu I-neu I-neu O O B-pos I-pos I-pos O O O O O O O O O O O O O
1438	很满意的一次购物	B-pos I-pos I-pos O O O O O
1439	一直用这个牌子的BB霜，这次入手这个，感觉还不错	O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos
1440	一直用***隔离，微微改善肤色，不干	O O O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos
1441	物流好快啊，昨天拍，今天就到了。很好用，又实惠	B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O B-pos I-pos I-pos O O B-pos I-pos
1442	刚收到货，打开试用了一下，卸口红，都卸不掉，这还是卸装水吗？	O O O O O O O O O O O O O O O O O O B-neg I-neg I-neg O O O O O O O O O
1443	宝贝儿收到了就迫不及待的试用了一下，效果不错，大爱！值得推荐	O O O O O O O O O O O O O O O O O O O O B-pos I-pos O B-pos I-pos O O O O O
1444	味道挺好的速度也快	B-qiwei I-qiwei B-pos I-pos I-pos B-wuliu I-wuliu O B-pos
1445	还不错，很划算，持久力也可以	B-pos I-pos I-pos O B-pos I-pos I-pos O B-shiyongtiyan I-shiyongtiyan I-shiyongtiyan O B-pos I-pos
1446	一直用的***哦，保湿很好，会一直种草的	O O O O O O O O O B-gongxiao I-gongxiao B-pos I-pos O O O O O O O
1447	买给妈妈的，还不知道怎么样，应该挺好的吧，试试看	O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos I-pos O O O O O
1448	还可以这个新包装第一次用	B-pos I-pos I-pos O O O O O O O O O
1449	**送货就是快！给婆婆买的，婆婆很喜欢，卸妆水自己用了，出去玩的时候正好小样装带着，很方便！	O O B-wuliu I-wuliu O O B-pos O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O
1450	回购的，一如既往的好～感谢店家送的礼品。好评	O O O O B-pos I-pos I-pos I-pos I-pos I-pos O O O O O O O B-jiage I-jiage O B-pos I-pos
1451	挺好的，一直用这个	B-pos I-pos I-pos O O O O O O
1452	这个用了主要是不过敏，我是过敏肤质，试了一张保湿照顾还不错，天气干燥，这个必备	O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos O O O O O O O O O O
1453	可以，补水效果很好	B-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos
1454	上妆效果：还好吧	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos I-pos O
1455	媳妇说用的挺好。	O O O O O B-pos I-pos O
1456	不好用很烂	B-neg I-neg I-neg B-neg I-neg
1457	面膜很薄很服帖，价钱美丽	O O B-pos I-pos B-pos I-pos I-pos O B-jiage I-jiage B-pos I-pos
1458	使用了才来评价，很不错??	O O O O O O O O B-pos I-pos I-pos O O
1459	买好几次是正品	O O O O B-pos I-pos I-pos
1460	这个吧，活动时候挺合适的，不错啊，好用，买了好多了	O O O O B-jiage I-jiage O O B-pos I-pos I-pos O O B-pos I-pos O O B-pos I-pos O O O O O O
1461	功能性好，没有过敏的情况，比较温和，价格实惠	O O O B-pos O B-pos I-pos I-pos I-pos O O O O B-pos I-pos I-pos I-pos O B-jiage I-jiage B-pos I-pos
1462	买回来就用了，很好喜欢	O O O O O O O B-pos I-pos B-pos I-pos
1463	正品，用***六七年了，很不错，你家的忠实粉丝哟！	B-pos I-pos O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O
1464	东西挺好！	O O B-pos I-pos O
1465	宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事	O O O O B-pos I-pos O B-fuwu I-fuwu I-fuwu I-fuwu I-fuwu I-fuwu O O O O O O B-wuliu I-wuliu B-neg I-neg I-neg I-neg O O O O O O O O O O O B-wuliu I-wuliu O O O O B-neg I-neg I-neg I-neg
1466	宝贝非常好用，第一次评价，买了好几次了，扫了一下，是正品	O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O B-pos I-pos
1467	感觉还不错吧就是收到货时觉得包装太简陋了点	O O B-pos I-pos I-pos O O O O O O O O O B-baozhuang I-baozhuang B-pos I-pos I-pos I-pos I-pos
1468	发生点小意外，客服热心的又补发了一支～～～ 还没用，用过后会追加评论的	O O O O O O O B-fuwu I-fuwu B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O
1469	有些油 适合干皮	B-neg I-neg I-neg O O O O O
1470	扫了二维码，上面显示是正品，没有用过，打开很香，希望用了之后与期的好	O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O B-pos I-pos O O O O O O O O O O O
1471	是正品，很多次回顾了，一直相信**	B-pos I-pos I-pos O O O O O O O O O O O O O O
1472	上妆效果：上妆效果很好，也不油腻，但是刚开始的时候是有点干，涂完之后会好一些 持久情况：上妆后很持久，比之前用的bb持久多了，爱上了	O O O O O B-gongxiao I-gongxiao O O B-pos I-pos O O B-pos I-pos I-pos O O O O O O O O O O B-neg I-neg I-neg O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O
1473	看着还可以，用后再来看	O O B-pos I-pos I-pos O O O O O O
1474	很好 妈妈用的 很喜欢	B-pos I-pos O O O O O O B-pos I-pos I-pos
1475	包装很精美，图案也漂亮，很喜欢！拒绝不了卡哇伊的东西?	B-baozhuang I-baozhuang B-pos I-pos I-pos O B-qita I-qita O B-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O O O
1476	物流很快，货收到就赶快打开看看，体验一下，感觉效果还不错，喜欢的亲们赶快下单	B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O
1477	用着很舒服给妈妈买的	O O B-pos I-pos I-pos O O O O O
1478	还好吧，本来想买***的1，这个用了也还好	B-pos I-pos O O O O O O O O O O O O O O O O O O O
1479	这个真的好用	O O B-pos I-pos I-pos I-pos
1480	东西还不错用一段时间之后再来追评	O O B-pos I-pos I-pos O O O O O O O O O O O
1481	物流配送中心很快，宝贝用着很好，很满意的一次购物，好评	B-wuliu I-wuliu I-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos O O O O O B-pos I-pos O B-pos I-pos I-pos O O O O O O B-pos I-pos
1482	评论说的都挺好用，我买的怎么不好用，太干了，没有说的那么保湿，上当了。	O O O O O O O O O O O O O O B-neg I-neg I-neg O B-neg I-neg I-neg O B-neg I-neg I-neg I-neg I-neg I-neg I-neg I-neg O B-neg I-neg I-neg O
1483	很好用，这款包装比较好携带	B-pos I-pos I-pos O O O B-baozhuang I-baozhuang B-pos I-pos I-pos I-pos I-pos
1484	***隔离霜，这个很好用，味道也很好闻。	O O O O O O O O O B-pos I-pos I-pos O B-qiwei I-qiwei O B-pos I-pos I-pos O
1485	这是第二次购买了。不得不说 这款隔离是真的很好用啊 轻薄也很提肤色。会一直回购的。	O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O B-pos I-pos O B-pos I-pos I-pos I-pos O O O O O O O O
1486	刚刚才打开，在手上试啦下，感觉还不错，等用脸上啦再说！	O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O
1487	好用，不油腻，喜欢，新款的瓶子，用起来也方便	B-pos I-pos O B-pos I-pos I-pos O B-pos I-pos O B-pos I-pos O B-baozhuang I-baozhuang O O O O O B-pos I-pos
1488	很好用，不干，值得推荐。。。。	B-pos I-pos I-pos O B-pos I-pos O O O O O O O O O
1489	必须好评呀，***隔离本身就很好用，买了两瓶赠了好多赠品，我都惊讶了，太感谢了，卸妆水能用好久了	O O B-pos I-pos O O O O O O O O O O B-pos I-pos I-pos O O O O O O O B-pos I-pos B-jiage I-jiage O O O O O O O O O O O O O O O O O O O O
1490	两瓶很划算哦，第一天用了，很温和不刺激。	O O B-pos I-pos I-pos O O O O O O O O B-pos I-pos I-pos B-pos I-pos I-pos O
1491	快递服务态度好。	B-wuliu I-wuliu I-wuliu I-wuliu I-wuliu I-wuliu B-pos O
1492	挺好用的味道很好闻	B-pos I-pos I-pos I-pos B-qiwei I-qiwei B-pos I-pos I-pos
1493	萍萍直播推荐的，价格真的优惠，还没试洗，看起来还不错的样子	O O O O O O O O B-jiage I-jiage B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O
1494	保湿不油腻，很贴，是我最喜欢的一款隔离	B-pos I-pos B-pos I-pos I-pos O B-pos I-pos O O O B-pos I-pos I-pos I-pos O O O O
1495	东西很一般	O O B-neu I-neu I-neu
1496	不好上妆，不适合混合皮肤和干皮，抹上脸都搓泥了，一言难尽，有些失望，懒的退货了，下回不会考虑这款	B-neg I-neg I-neg I-neg O O O O O O O O O O O O O O O O B-neg I-neg I-neg O O O O O O B-neg I-neg I-neg I-neg O O O O O O O O O O O O O O O
1497	还可以用着还行，价格也挺实惠，还有两个挺好的，特别喜欢，还行吧，总之为了挺好的	B-pos I-pos I-pos O O B-pos I-pos O B-jiage I-jiage O B-pos I-pos I-pos O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O O O B-pos I-pos I-pos
1498	我妈特喜欢这款，平常真的太贵了，还是双十一划算啊~	O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O B-pos I-pos O O
1499	之前用过海藻的，但不是这个包装，这次趁着活动买来试试跟之前的一样不。	O O O O O O O O O O O O O O O O O O O O B-jiage I-jiage O O O O O O O O O O O O
1500	第二次买了，跟实体店一样，好评。	O O O O O O O O O O O O O B-pos I-pos O
1501	还不错啦，挺滋润补水的，建议可以尝试	B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos I-pos I-pos O O O O O O O
1502	买一送一很划算，之前也用过这个，挺好用的，希望是正品和之前在店里一样	O O O O B-pos I-pos I-pos O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O
1503	使用了一段时间才来评价的，面膜很好吸收，东西不错，值得购买。	O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O B-pos I-pos O O O O O O
1504	赠品很好，用了后丝润光滑	B-jiage I-jiage B-pos I-pos O O O O B-pos I-pos B-pos I-pos
1505	我以为挺大一瓶，拿到手发现，妈呀，好小啊！	O O O O O O O O O O O O O O O O O B-neg I-neg O O
1506	挺温和的，但清洁效果不是很好	B-pos I-pos I-pos I-pos O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-neg I-neg I-neg I-neg
1507	之前买过，这个没用呢，应该可以	O O O O O O O O O O O O O B-pos I-pos
1508	快寄很给力，第二天就到货，不用苦等好几天，一直在用的一款面膜，水水润润，赞\(���)/	B-wuliu I-wuliu B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O O O
1509	一直在用这个***牌子的，不过一直是在实体店买的。这次网购还在担心，用过后才来评价的，真品牌。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O
1510	物流快，价格便宜，昨晚今早各试用了一片，滋润补水，我是敏感皮肤用了没有任何不适，推荐购买。	B-wuliu I-wuliu B-pos O B-jiage I-jiage B-pos I-pos O O O O O O O O O O O O B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O
1511	送货快，当天就到了，用着也还不错，有活动买着划算	B-wuliu I-wuliu B-pos O O O O O O O O O O B-pos I-pos I-pos O O B-jiage I-jiage O O B-pos I-pos
1512	一般，没那么好用	B-neu I-neu O B-neg I-neg I-neg I-neg I-neg
1513	物流很快，用起来感觉补水效果很明显	B-wuliu I-wuliu B-pos I-pos O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos
1514	包装很好，就是盖子打开了不好扣上	B-baozhuang I-baozhuang B-pos I-pos O O O O O O O O O O O O
1515	用***6-7年了，一直都在用，效果不错，值得推荐好评	O O O O O O O O O O O O O O O O O O B-pos I-pos O O O O O B-pos I-pos
1516	瓶子很漂亮很喜欢也很好用快递很快态度好	B-baozhuang I-baozhuang B-pos I-pos I-pos B-pos I-pos I-pos O B-pos I-pos I-pos B-wuliu I-wuliu B-pos I-pos B-wuliu I-wuliu B-pos
1517	***的这款隔离霜很不错，一直在用，效果很好！	O O O O O O O O O B-pos I-pos I-pos O O O O O O O O B-pos I-pos O
1518	一下买了两套，期待效果。给**快递员点个赞！	O O O O O O O O O O O O O O O B-wuliu I-wuliu I-wuliu O O O O
